Question,Hint,Answer
What is a mobile device's ambient light sensor used for?,Think automatic screen brightness.,It measures surrounding light so the device can adjust display brightness.
What is screen burn-in?,Static images displayed for long periods can leave persistent visual artifacts on some display technologies.,Burn-in is persistent image retention caused by prolonged display of static content.
What is a dead pixel?,Think a tiny spot on the display that doesn't behave like neighboring pixels.,"A dead pixel is a pixel that fails to display correctly, often remaining dark or stuck on a particular state."
What is a BIOS/UEFI boot order?,"When several bootable devices exist, the firmware needs to know which one to try first.",Boot order determines the sequence in which firmware checks devices for bootable media.
A computer says 'No boot device found' after replacing its SSD. What should you check?,Don't immediately assume the new SSD is defective.,"Check physical connection, BIOS/UEFI detection, boot mode, boot order, partition/bootloader configuration, and whether the drive contains a bootable OS."
What is a bootable USB drive?,Think installing an operating system or running a diagnostic environment without using the internal drive.,A bootable USB contains the necessary boot files and software to start a computer.
What is the difference between BIOS/UEFI firmware and the operating system?,One initializes hardware and starts the boot process; the other provides the normal computing environment.,Firmware initializes hardware and manages early boot functions; the operating system manages hardware/resources and provides the user/application environment.
What does ls do in Linux?,Think Windows dir.,ls lists directory contents.
What does pwd do in Linux?,The command tells you where you currently are in the filesystem.,pwd prints the current working directory.
What does cd do in Linux?,Think changing folders.,cd changes the current working directory.
What does mkdir do in Linux?,Think make a directory.,mkdir creates a directory.
What does rm do in Linux?,Be careful: this command can remove files and directories depending on options.,"rm removes files and, with appropriate options, directories."
What does cp do in Linux?,Think copying a file or directory.,cp copies files or directories.
What does mv do in Linux?,It can move files and is also commonly used to rename them.,mv moves or renames files/directories.
What does cat do in Linux?,Think quickly displaying the contents of a text file.,cat outputs file contents to the terminal and can concatenate files.
What does grep do in Linux?,Think finding lines that match a pattern.,grep searches text for matching patterns.
What does chmod do?,Linux permissions are important; this command changes them.,chmod changes file or directory permission bits.
What does sudo do?,Think temporarily performing a command with elevated privileges.,sudo runs a command with privileges granted by the system's sudo configuration.
What does ps do in Linux?,Think viewing running processes.,ps displays information about running processes.
What does top do?,Think a live view of processes and resource usage.,top provides a dynamic view of running processes and system resource usage.
What does df do in Linux?,Think filesystem disk space rather than individual file sizes.,df reports filesystem space usage.
What does free do in Linux?,Think RAM and swap usage.,free displays memory and swap usage.
